4/3/25 19:33:0, Microphone: 176, Temp =  83.29, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.94, GyroZ =  0.35

4/3/25 19:33:2, Microphone: -22, Temp =  83.36, AccX =  -0.10, AccY =  -0.00, AccZ =  0.99, GyroX =  0.14, GyroY =  -2.87, GyroZ =  0.42

4/3/25 19:33:3, Microphone: 20, Temp =  83.37, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.80, GyroZ =  0.35

4/3/25 19:33:4, Microphone: -67, Temp =  83.42, AccX =  -0.10, AccY =  -0.01, AccZ =  1.00, GyroX =  -0.49, GyroY =  -2.94, GyroZ =  0.28

4/3/25 19:33:5, Microphone: -25, Temp =  83.35, AccX =  -0.10, AccY =  -0.01, AccZ =  1.00, GyroX =  -0.07, GyroY =  -3.08, GyroZ =  0.21

4/3/25 19:33:6, Microphone: -4, Temp =  83.36, AccX =  -0.10, AccY =  -0.02, AccZ =  0.99, GyroX =  0.35, GyroY =  -3.22, GyroZ =  0.28

4/3/25 19:33:8, Microphone: -20, Temp =  83.38, AccX =  -0.10, AccY =  -0.01, AccZ =  1.00, GyroX =  0.21, GyroY =  -2.94, GyroZ =  0.42

4/3/25 19:33:9, Microphone: 27, Temp =  83.38, AccX =  -0.10, AccY =  -0.01, AccZ =  1.00, GyroX =  0.14, GyroY =  -3.08, GyroZ =  0.35

4/3/25 19:33:10, Microphone: 13, Temp =  83.43, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.87, GyroZ =  0.21

4/3/25 19:33:11, Microphone: -13, Temp =  83.36, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.21, GyroY =  -3.01, GyroZ =  0.21

4/3/25 19:33:13, Microphone: 39, Temp =  83.34, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.73, GyroZ =  0.28

4/3/25 19:33:14, Microphone: 15, Temp =  83.42, AccX =  -0.10, AccY =  -0.01, AccZ =  1.00, GyroX =  -0.07, GyroY =  -2.87, GyroZ =  0.21

4/3/25 19:33:15, Microphone: 61, Temp =  83.41, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.80, GyroZ =  0.35

4/3/25 19:33:16, Microphone: 23, Temp =  83.50, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  -0.07, GyroY =  -2.66, GyroZ =  0.35

4/3/25 19:33:17, Microphone: -26, Temp =  83.41, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.08, GyroZ =  0.28

4/3/25 19:33:19, Microphone: -21, Temp =  83.37, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.08, GyroZ =  0.42

4/3/25 19:33:20, Microphone: 55, Temp =  83.48, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.01, GyroZ =  0.42

4/3/25 19:33:21, Microphone: -40, Temp =  83.53, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.15, GyroZ =  0.42

4/3/25 19:33:22, Microphone: -29, Temp =  83.48, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.14, GyroY =  -2.80, GyroZ =  0.35

4/3/25 19:33:24, Microphone: 5, Temp =  83.46, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.94, GyroZ =  0.42

4/3/25 19:33:25, Microphone: 250, Temp =  83.49, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.94, GyroZ =  0.28

4/3/25 19:33:26, Microphone: 25, Temp =  83.48, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.66, GyroZ =  0.21

4/3/25 19:33:27, Microphone: -17, Temp =  83.48, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.87, GyroZ =  0.35

4/3/25 19:33:29, Microphone: -21, Temp =  83.49, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  -0.07, GyroY =  -2.80, GyroZ =  0.56

4/3/25 19:33:30, Microphone: 1, Temp =  83.48, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.66, GyroZ =  0.42

4/3/25 19:33:31, Microphone: 24, Temp =  83.60, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.87, GyroZ =  0.28

4/3/25 19:33:32, Microphone: 61, Temp =  83.46, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.80, GyroZ =  0.28

4/3/25 19:33:34, Microphone: -2, Temp =  83.50, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.80, GyroZ =  0.35

4/3/25 19:33:35, Microphone: -14, Temp =  83.43, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.66, GyroZ =  0.21

4/3/25 19:33:36, Microphone: 28, Temp =  83.47, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.08, GyroZ =  0.28

4/3/25 19:33:37, Microphone: -46, Temp =  83.57, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.01, GyroZ =  0.28

4/3/25 19:33:39, Microphone: -60, Temp =  83.59, AccX =  -0.09, AccY =  -0.01, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.01, GyroZ =  0.35

4/3/25 19:33:40, Microphone: 41, Temp =  83.64, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  -0.07, GyroY =  -2.66, GyroZ =  0.28

4/3/25 19:33:41, Microphone: -15, Temp =  83.67, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.94, GyroZ =  0.35

4/3/25 19:33:42, Microphone: -2, Temp =  83.56, AccX =  -0.10, AccY =  -0.01, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.87, GyroZ =  0.42

4/3/25 19:33:43, Microphone: 2, Temp =  83.64, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.80, GyroZ =  0.42

4/3/25 19:33:45, Microphone: -23, Temp =  83.68, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.94, GyroZ =  0.35

4/3/25 19:33:46, Microphone: -40, Temp =  83.64, AccX =  -0.10, AccY =  -0.01, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.59, GyroZ =  0.28

4/3/25 19:33:47, Microphone: 26, Temp =  83.57, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.01, GyroZ =  0.35

4/3/25 19:33:48, Microphone: 6, Temp =  83.67, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.08, GyroZ =  0.21

4/3/25 19:33:50, Microphone: 2, Temp =  83.65, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.66, GyroZ =  0.28

4/3/25 19:33:51, Microphone: -11, Temp =  83.63, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.73, GyroZ =  0.35

4/3/25 19:33:52, Microphone: -1, Temp =  83.72, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.15, GyroZ =  0.35

4/3/25 19:33:53, Microphone: -31, Temp =  83.72, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.87, GyroZ =  0.28

4/3/25 19:33:55, Microphone: 10, Temp =  83.62, AccX =  -0.09, AccY =  -0.01, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.94, GyroZ =  0.42

4/3/25 19:33:56, Microphone: -46, Temp =  83.67, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.80, GyroZ =  0.28

4/3/25 19:33:57, Microphone: 15, Temp =  83.62, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.14, GyroY =  -2.94, GyroZ =  0.42

