aX,aY,aZ
-0.26,0.389,1.141
-0.12,0.042,1.081
-0.159,0.107,1.024
-0.113,0.092,1.039
-0.052,0.136,1.041
-0.024,0.138,1.039
0.024,0.128,1.042
0.02,0.015,1.021
0.025,-0.072,1.03
-0.062,-0.047,1.015
-0.147,-1.253,1.126
-0.203,-1.581,1.693
0.124,-0.672,2.24
0.157,-0.404,2.114
-0.812,-0.839,1.09
0.194,-0.037,1.402
-0.045,-0.291,0.871
0.31,-0.032,0.792
0.209,-0.301,0.634
0.143,-0.225,0.978
0.113,-0.12,1.097
0.158,-0.057,1.284
0.192,-0.136,1.371
0.214,-0.239,1.505
0.265,-0.329,1.535
0.241,-0.586,1.518
0.046,-0.691,1.383
-0.043,-0.761,1.503
-0.124,-0.772,1.559
-0.368,-0.754,1.743
-0.324,-0.82,1.792
-0.281,-0.906,1.81
-0.283,-0.86,1.809
-0.382,-0.834,1.778
-0.317,-0.964,1.754
-0.217,-0.956,1.746
-0.216,-0.921,1.751
-0.268,-0.957,1.715
-0.275,-0.982,1.654
-0.357,-1.031,1.618
-0.43,-1.012,1.6
-0.443,-1.129,1.528
-0.391,-1.157,1.459
-0.305,-1.225,1.403
-0.271,-1.336,1.33
-0.16,-1.383,1.258
-0.004,-1.467,1.22
0.063,-1.627,1.082
0.113,-1.707,0.922
0.23,-1.648,0.854
0.291,-1.621,0.769
0.488,-1.49,0.723
0.459,-1.588,0.583
0.573,-1.484,0.619
0.557,-1.395,0.862
0.765,-1.002,0.78
0.666,-0.936,0.829
0.792,-0.64,0.774
0.775,-0.701,0.479
0.428,-0.693,-0.057
-0.163,-0.735,-0.384
-0.544,-0.908,-0.81
-1.133,-1.008,-0.994
-0.938,-0.986,-1.01
-1.165,-1.091,-1.568
-1.135,-1.143,-2.001
-0.971,-1.094,-2.238
-0.896,-0.877,-2.3
-0.713,-0.756,-1.544
-0.483,-0.875,-1.12
-0.325,-1.01,-0.993
-0.296,-1.148,-1.181
-0.258,-1.156,-1.154
-0.317,-1.084,-1.207
-0.343,-1.038,-1.119
-0.383,-1.306,-1.749
-0.321,-1.009,-0.872
-0.372,-0.546,-0.629
-0.395,-0.747,-0.478
-0.431,-1.138,-0.418
-0.406,-1.185,-0.393
-0.244,-1.114,-0.389
-0.144,-0.939,-0.447
0.106,-0.841,-0.515
0.321,-0.686,-0.585
0.378,-0.644,-0.728
0.321,-0.679,-0.819
0.219,-0.646,-0.866
0.058,-0.689,-0.906
0.067,-0.346,-0.94
0.191,0.273,-0.811
-0.158,0.377,-0.267
-0.474,0.613,-0.391
-0.349,0.503,-0.612
-0.323,0.162,-1.208
