aX,aY,aZ
-0.305,-0.755,1.01
-0.214,-0.671,1.098
-0.399,0.744,1.071
-0.814,1.372,1.09
-0.566,0.671,1.323
-0.213,-0.125,1.769
-0.389,-0.127,1.547
-0.549,-0.211,1.364
-0.621,-0.744,1.361
-0.64,-1.137,1.302
-0.676,-1.178,1.187
-0.658,-1.23,1.177
-0.513,-1.056,1.249
-0.559,-0.895,1.377
-0.427,-0.603,1.434
-0.387,-0.439,1.47
-0.364,-0.418,1.48
-0.343,-0.431,1.423
-0.374,-0.5,1.438
-0.305,-0.607,1.259
-0.355,-0.698,1.215
-0.499,-0.784,1.107
-0.424,-0.795,1.044
-0.367,-0.757,1.118
-0.239,-0.81,1.331
-0.25,-0.8,1.3
-0.347,-0.552,1.289
-0.166,-0.409,1.276
-0.267,-0.388,1.139
-0.292,-0.365,1.089
-0.293,-0.374,0.959
-0.312,-0.369,0.886
-0.335,-0.374,0.848
-0.26,-0.39,0.824
-0.218,-0.395,0.821
-0.166,-0.368,0.832
-0.133,-0.307,0.842
-0.114,-0.272,0.806
-0.069,-0.204,0.783
-0.029,-0.219,0.748
-0.031,-0.081,0.698
-0.007,-0.06,0.688
0.067,-0.036,0.724
0.12,-0.042,0.698
0.157,0.098,0.649
0.17,0.134,0.634
0.245,0.178,0.673
0.263,0.226,0.654
0.354,0.227,0.755
0.461,0.151,0.815
0.509,0.041,0.94
0.48,0.074,0.949
0.396,0.264,0.892
0.273,0.318,0.807
0.269,0.341,0.761
0.311,0.331,0.774
0.432,0.349,0.807
0.477,0.412,0.854
0.521,0.444,0.863
0.526,0.492,0.872
0.532,0.519,0.886
0.558,0.596,0.892
0.573,0.639,0.881
0.61,0.709,0.858
0.621,0.724,0.833
0.602,0.749,0.826
0.714,0.874,0.817
0.762,0.887,0.79
0.788,0.923,0.776
0.799,0.984,0.796
0.805,0.971,0.915
0.934,1.001,1.003
0.898,1.09,0.994
0.835,1.194,0.988
0.837,1.257,0.998
0.857,1.302,1.014
0.882,1.409,1.046
0.945,1.444,1.077
0.962,1.519,1.082
0.99,1.593,1.11
1.037,1.689,1.135
1.051,1.731,1.126
1.034,1.748,1.134
1.092,1.746,1.159
1.096,1.683,1.187
1.075,1.608,1.2
1.074,1.511,1.192
1.107,1.518,1.198
1.122,1.4,1.164
1.103,1.352,1.127
1.069,1.304,1.107
1.061,1.263,1.102
1.063,1.116,1.103
1.05,1.113,1.182
1.057,1.054,1.254
1.079,0.961,1.305
1.086,0.871,1.411
1.084,0.83,1.457
1.073,0.766,1.514
1.043,0.722,1.535
1.003,0.638,1.536
1.005,0.547,1.509
0.978,0.477,1.476
0.85,0.332,1.346
0.79,0.326,1.341
0.834,0.383,1.299
0.806,0.217,1.199
0.749,0.325,1.181
0.79,0.253,1.142
0.886,0.291,1.121
